codigo_municipio,exercicio_orcamento,codigo_orgao,codigo_unidade,codigo_funcao,codigo_subfuncao,codigo_programa,codigo_projeto_atividade,numero_projeto_atividade,numero_subprojeto_atividade,codigo_tipo_orcamento,nome_projeto_atividade,descricao_projeto_atividade,valor_total_fixado_projeto_atividade
48,201000,7,7,8,244,137,2,15,0,S,APOIO AS ACOES COMPLEMENTARES/GESTAO DO BOLSA FAMILIA,APOIO AS ACOES COMPLEMENTARES/GESTAO DO BOLSA FAMILIA,18000.0
48,201000,7,7,8,244,137,2,16,0,S,IMPLANTACAO E MANUTENCAO DO CONSELHO MUNICIPAL DE HABITACAO,IMPLANTACAO E MANUTENCAO DO CONSELHO MUNICIPAL DA HABITACAO,31000.0
48,201000,7,7,8,244,137,2,17,0,S,OPERACIONALIZACAO  DA COZINHA COMUNITARIA,APOIO A INSTALACAO DE COZINHA COMUNITARIA,28000.0
48,201000,7,7,8,244,137,2,18,0,S,MANUTENCAO DO CONSELHO MUNICIPAL DE  JUVENTUDE,IMPLENTACAO E MANUTENCAO DO CONSELHO MUN. DA JUVENTUDE,22500.0
48,201000,7,7,8,244,137,2,19,0,S,IMPLANTACAO E MANUTENCAO DO CONSELHO MUNICIPAL ANTE DROGAS,MANUT E FORTALECIMENTO DAS ACOES DO PROJ.CRIANCA/FAMILI,22500.0
48,201000,7,7,8,244,137,2,20,0,S,IMPLANTACAO A MANUT.DO CONSELHO MUNICIP DOS DIREITOS DE PESSOAS COM DEFICIENCIA,MANUT.ATIV.LIGADAS A PESSOA COM NECESSIDADES ESPECIAIS,37500.0
48,201000,7,7,8,244,426,2,21,0,S,MANUTENCAO DO PROJETO ESTACAO DIGITAL,MANUTENCAO DO PROJETO ESTACAO DIGITAL,6000.0
48,201000,7,7,8,306,196,2,22,0,S,MANUTENCAO DO CONSELHO MUNICIPAL DE SEGURANCA ALIMENTAR E NUTRICIONAL/COMESA,APOIO A INSTALACAO DE RESTAURANTE POPULAR PUBLICO,26500.0
48,201000,7,7,17,511,371,1,102,0,F,CONSTRUCAO DE CISTERNAS DE PLACAS NA ZON A RURAL DO MUNICIPIO DE CRATEUS-CE.,ASSEGURAR RECURSOS NECESSARIOS PARA CONSTRUCAO DE CISTENAS DE PLACAS NA ZONA RURAL DO MUNICIPIO DE CRATEUS-CE.,380000.0
48,201000,8,8,12,122,37,2,23,0,F,MANUTENCAO DAS ATIVIDADES EDUCACIONAIS A CARGO DO FUNDO MUNICIPAL DE EDUCACAO,CUSTEIO DE ATIVIDADES EDUCACIONAIS,1143000.0
48,201000,8,8,12,361,196,2,24,0,F,PROGRAMA NACIONAL DE ALIMENTACAO ESCOLAR - PNAE,PROGRAMA NACIONAL DE ALIMENTACAO ESCOLAR - PNAE,700000.0
48,201000,8,8,12,361,231,1,5,0,F,"CONSTRUCAO,REVITALIZACAO E AMPLIACAO  DE PREDIOS DA REDE DO ENSINO FUNDAMENTAL",CONSTRUCAO REFORMA E AMPLIACAO DE ESCOLAS MUNICIPAIS,210000.0
48,201000,8,8,12,362,251,1,6,0,F,CONSTRUCAO DA ESCOLA AGRICOLA,CONSTRUCAO DA ESCOLA AGRICOLA,100000.0
48,201000,8,8,12,365,271,1,7,0,F,"CONSTRUCAO,REVITALIZACAO E AMPLIACAO DE PREDIOS DA REDE DO ENSINO INFANTIL","CONSTRUCAO,REVITALIZACAO E AMPLIACAO DE PREDIOS DA REDE DO ENSINO INFANTIL",200000.0
48,201000,8,8,12,367,231,2,25,0,F,DESENVOLVIMENTO DA EDUCACAO ESPECIAL,DESENVOLVIMENTO DA EDUCACAO ESPECIAL,244000.0
48,201000,8,8,13,392,307,1,8,0,F,CONSTRUCAO DA CENTRAL DE ARTESANATO,CONSTRUCAO DA CENTRAL DE ARTESANATO,50000.0
48,201000,8,8,13,392,307,2,26,0,F,"MANUTENCAO DA CULTURA REGIONAL COM REAL, DO CARNAVAL E SEMANA DO MUNICIPIO ETC.",INCENTIVO A CULTURA REGIONAL COM A REALIZACAO DO CARNAVAL E AS COMEMORACOES DA SEMANA DO MUNICIPIO ENTRE OUTRAS.,378000.0
48,201000,9,9,10,122,37,2,27,0,S,MANUTENCAO DAS ATIVIDADES GERAIS DA   SE CRETARIA ATRAVES DO F.M.DE SAUDE,MANUTENCAO DAS ATIVIDADES GERAIS DA SECRETARIA ATRAVES DO FUNDO MUNICIPAL DE SAUDE,5613000.0
48,201000,9,9,10,301,171,2,28,0,S,FUNCIONAMENTODO PROGRAMA DE SAUDE DA ATENCAO BASICA - PROG.SAUDE DA FAMILIA,FUNCIONAMENTODO PROGRAMA DE SAUDE DA ATENCAO BASICA -PSF,4152000.0
48,201000,9,9,10,301,171,2,29,0,S,MANUTENCAO DAS ATIVIDADES DE ATENCAO BASICA -PROG AGENTS COMUNIT DE SAUDE,MANUTENCAO DAS ATIVIDADES DE ATENCAO BASICA PACS,115000.0
48,201000,9,9,10,301,171,2,30,0,S,MANUTENCAO DAS ATIVIDADES DA GESTAO DO SUS,MANUTENCAO DAS ATIVIDADES DA GESTAO DO SUS,714000.0
48,201000,9,9,10,302,171,2,31,0,S,FUNCIONAMENTO DO PROG. DE SAUDE DA ATENCAO SECUNDARIA,FUNCIONAMENTO DO PROG. DE SAUDE DA ATENCAO SECUNDARIA,1046000.0
48,201000,9,9,10,302,176,1,9,0,S,CONSTRUCAO AMPLIACAO E REFORMAS DE UNIDADES SAUDE,CONSTRUCAO AMPLIACAO E REFORMAS DE UNIDADES SAUDE,100000.0
48,201000,9,9,10,302,176,2,32,0,S,MANUTE.DAS ATIVIDADES AMBULATORIAL E HOSPITALAR MEDIA E ALTA COMPLEXIDADE,MANUTENCAO DAS ATIVIDADES DE ASSIST AMBUL E HOSPITALAR,7200000.0
48,201000,9,9,10,303,181,2,33,0,S,MANUTENCAO DAS ATIVIDADES DE ASSISTENCIA FARMACEUTICA,MANUTENCAO DAS ATIVIDADES DE ASSISTENCIA FARMACEUTICA,114000.0
48,201000,9,9,10,304,186,2,34,0,S,MANUTENCAO DAS ATIVIDADES DE VIGILANCIA SANITARIA,MANUTENCAO DOS SERVICOS DE VIGILANCIA SANITARIA A SAUDE PUBLICA,149000.0
48,201000,9,9,10,305,171,2,35,0,S,MANUTENCAO DAS ATIVIDADES DE VIGILANCIA EM SAUDE/ENDEMIAS,MANUTENCAO DAS ATIVIDADES DE VIGILANCIA EM SAUDE,620000.0
48,201000,10,10,4,122,37,2,36,0,F,MANUTENCAO DO CUSTEIO DA SECRETARIA E DOS SERVICOS DE UTILIDADE PUBLICA,CUSTEIO ADMINISTRATIVO DA SECRETARIA DE INFRAESTRUTURA E DOS SERVICOS BASICOS DE UTILIDADE PUBLICA.,2447000.0
48,201000,10,10,15,451,332,1,10,0,F,EXECUCAO DE OBRAS DE INFRAESTRUTURA URBA NAS COM REVITALIZACAO DAS AREAS PUBLICAS,"REVITALIZACAO, E EXCUCAO DE OBRAS DE INFRAESTRUTURA EM ZONA URBANA DA SEDE E DOS DISTRITOS.",700000.0
48,201000,10,10,15,451,339,1,11,0,F,EXECUCAO DE SERVICOS DE UTILIDADE PUBLI CA E DE INTERESSE DA POPULACAO RESIDENTE,"EXECUCUCAO DE SERVICOS DE UTILIDADE PUBLICA, NA CONSERVACAO DE RUAS AVENIDAS, PRACAS E LOGRADOUROS PUBLICOS.",400000.0
48,201000,10,10,15,452,340,1,12,0,F,REFORMA E AMPLIACAO DE LAVANDERIAS PUBLICAS,REFORMA E AMPLIACAO DE LAVANDERIAS PUBLICAS,50000.0
48,201000,10,10,15,452,347,1,13,0,F,REFORMA E AMPLIACAO DO TERMINAL RODOVIARIO,REFORMA E AMPLIACAO DO TERMINAL RODOVIARIO,50000.0
48,201000,10,10,16,482,351,1,14,0,F,PROGRAMA MORAR MELHOR,PROGRAMA MELHORIAS HABITACIONAIS,100000.0
48,201000,10,10,17,512,377,1,15,0,F,AMPLIACAO DO SISTEMA DE SANEAMENTO MUNICIPAL,AMPLIACAO DO SISTEMA DE SANEAMENTO MUNICIPAL,100000.0
48,201000,10,10,17,512,377,1,16,0,F,CONSTRUCAO DE KITS E UNIDADES SANITARIAS,CONSTRUCAO DE KITS E UNIDADES SANITARIAS,50000.0
48,201000,10,10,17,512,377,1,17,0,F,CONSTRUCAO DO ATERRO SANITARIO,CONSTRUCAO DO ATERRO SANITARIO,100000.0
48,201000,10,10,23,451,38,1,18,0,F,REFORMA DO SHOPPING POPULAR,REFORMA DO SHOPPING POPULAR,50000.0
48,201000,10,10,25,752,566,1,19,0,F,MELHORIA DA INFRAESTRUTURA DE ENERGIA ELETRICAL,AMPLIACAO DA REDE DE ENERGIA ELETRICA MUNICIPAL,100000.0
48,201000,10,10,26,782,586,1,20,0,F,"INFRAESTRUTURA VIARIA NOS CAMINHOS E EST RADAS VICINAIS,INCLUSIVE OBRAS DARTES",BENEFICIAMENTO ESTRADAS VICINAIS E CONSTR.OBRAS D ARTE,300000.0
48,201000,10,10,27,813,616,1,21,0,F,IMPLANT. E MODERNIZ. DE INFRAESTRUTURA PARA O ESPORTE RECREATIVO E DE LAZER,ASSEGURAR RECURSOS NECESSARIOS PARA A IMPLANTACAO DE NUCLEOS DE ESPORTE RECREATIVA E DE LAZER NO AMBITO DO MUNICIPIO DE CRATEUS.,50000.0
48,201000,11,11,17,512,412,1,22,0,F,EXECUCAO DE OBRAS E SERVICOS DE SANEAMEN TO BASICO EM AREA URBANA.,EXECUCAO DE OBRAS E SERVICOS DE SANEAMENTO BASICO URBANO.,200000.0
48,201000,11,11,17,544,412,1,23,0,F,FORTALECIMENTO DA INFRA-ESTRUTURA HIDRICAS,FORTALECIMENTO DA INFRA-ESTRUTURA HIDRICAS,200000.0
48,201000,11,11,20,122,37,2,37,0,F,MANUTENCAO DAS ATIVIDADES GERAIS DA SECRETARIA,MANUTENCAO DAS ATIVIDADES GERAIS DA SECRETARIA,666000.0
48,201000,11,11,20,122,37,2,38,0,F,MANUTENCAO DAS ATIVIDADES DE MEIO AMBIENTE,MANUTENCAO DAS ATIVIDADES DE MEIO AMBIENTE,16000.0
48,201000,11,11,20,605,467,1,24,0,F,CONSTRUCAO  REFORMA E AMPL.MATADOURO PUBLICO MUNICIPAL,CONSTRUCAO REFORMA E AMPL.MATADOURO PUBLICO MUNICIPAL,100000.0
48,201000,11,11,23,692,38,1,25,0,F,CONSTR. DE MELHORIAS EM TORNO DO CENTRO APICOLA,CONSTR. DE MELHORIAS EM TORNO DO CENTRO APICOLA,50000.0
48,201000,12,12,6,122,37,2,39,0,F,MANUTENCAO DA GUARDA CIVIL MUNICIPAL,MANUTENCAO DA GUARDA CIVIL MUNICIPAL,1078000.0
48,201000,13,13,4,122,37,2,50,0,F,CONSTRUCAO DE SISTEMA DE DESENVOLVIMENTO URBANO,ELABORACAO DO PLANO SETORIALDE HABITACAO E ATUALIZACAO DO PLANO DIRETOR,60000.0
48,201000,13,13,4,122,37,2,51,0,F,EXECUCAO DE POLITICAS PUBLICAS PARTICIPA TIVAS,"EXECUCAO DE PREGRAMAS DE POLITICAS PUBLICAS PARTICIPATIVAS,VOLTADAS PARA O COLETIVO ATRAVES DE CONFERENCIAS.",122000.0
48,201000,13,13,4,131,37,2,40,0,F,MANUTENCAO DAS ATIVIDADES ADMINISTRATIV DA SECRETARIA DE RELACOES INSTITUCIONAIS,ASSESSORIA DE COMUNICACAO SOCIAL DE CRATEUS,151000.0
48,201000,14,14,23,695,536,2,41,0,F,INCENTIVO AO TURISMO MUNICIPAL,INCENTIVO AO TURISMO MUNICIPAL,60000.0
48,201000,14,14,27,122,37,2,42,0,F,MANUTENCAO DA SECRETARIA DE DESPORTO E TURISMO,MANUTENCAO DA SECRETARIA DE DESPORTO E TURISMO,213000.0
48,201000,14,14,27,812,611,1,26,0,F,RESTAURACAO E EXPANSAO DO ESTADIO JUVENAL MELO,RESTAURACAO E EXPANSAO DO ESTADIO JUVENAL MELO,100000.0
48,201000,14,14,27,812,616,1,27,0,F,CONSTRUCAO E AMPLIACAO DE QUADRAS POLIESPORTIVAS,CONSTRUCAO E AMPLIACAO DE QUADRAS POLIESPORTIVAS,100000.0
48,201000,14,14,27,812,616,2,43,0,F,INCENTIVO AO DESPORTO NO AMBITO DO MUNICIPIO,INCENTIVO AO DESPORTO COMOUM TODO,341000.0
48,201000,14,14,27,812,616,2,49,0,F,"REALIZACAO DO CAMPEONATO CRATEUENSE DE FUTEBOL,ATRAVES DA LIGA ESPORTIVA","REPASSE DE RECURSOS PARA A LIGA ESPORTIVA,DESTINADO A REALIZACAO DO CAMPEONATO CRATEUENSE DE FUTEBOL",100000.0
48,201000,15,15,12,361,231,2,44,0,F,MANUTENCAO DAS ATIVIDADES DOESNINO  BASI CO FUNDAMENTAL - FUNDEB - 40 P/CENTO,MANUTENCAO DAS ATIVIDADES DO ENSINO BASICO FUNDAMENTO A CARGO DO FUNDEB 40 POR CENTO,5700000.0
48,201000,15,15,12,361,231,2,45,0,F,MANUTENCAO DAS ATIVIDADES DO ENSINO BASI CO FUNDAMENTAL 60 P/CENTO,MANUTENCAO DAS ATIVIDADES DO ENSINO BASICO A CARGO DO FUNDEB 60 P/CENTO,7600000.0
48,201000,15,15,12,361,232,1,28,0,F,EXPANSAO DE VAGAS PARA O ENSINO BASICO FUNDAMENTAL A CARGO DO FUNDEB,"CONSTRUCAO,REVITALIZACAO E REFORMA DE PREDIOS DO ENSINO FUNDAMENTAL A CARGO DO FUNDEB",330000.0
48,201000,15,15,12,365,271,2,46,0,F,MANUTENCAO DAS ATIVIDADES DO ENSINO BASI CO INFANTIL A CARGO DO FUNDEB,CUSTEIO DAS ATIVIDADES DO ENSINO BASICO INFANTIL A CARGO DO FUNDEB,2126000.0
48,201000,15,15,12,365,272,1,29,0,F,EXPANSAO DE VAGAS PARA O ENSINO BASICO INFANTIL A CARGO DO FUNDEB,"CONSTRUCAO,REVITALIZACAO E/OU REFORMA DE PREDIOS DESTINADOS A EDUCACAO INFANTIL",330000.0
48,201000,15,15,12,366,281,2,47,0,F,MANUTENCAO DA EDUCACAO PARA JOVENS E ADULTOS A CARGO DO FUNDEB,MANUTENCAO DO ENSINO SUPLETIVO PARA JOVENS E ADULTOS,200000.0
48,201000,16,16,4,122,37,2,48,0,F,CUSTEIO ADMINISTRATIVO DA SECRETARIA DE GOVERNO,CUSTEIO ADMINISTRATIVO DA SECRETARIA,83000.0
48,201000,18,18,4,124,42,2,52,0,F,MANUTENCAO DAS ATIVIDADES DA CONTROLADOR IA GERAL DO MUNICIPIO,JFDSLKCFDKLFCSDFSDACLFDSCLFSDACLFSDAFSDAJJK,149000.0
48,201000,99,99,99,999,999,9,1,0,F,RESERVA DE CONTINGENCIA,RESERVA DE CONTINGENCIA,364000.0
48,201100,4,4,4,122,37,2,5,0,F,MANUTENCAO DA PROCURADORIA MUNICIPAL,MANUTENCAO DA PROCURADORIA MUNICIPAL,1567210.0
48,201100,5,5,4,122,37,2,6,0,F,CUSTEIO ADMINISTRATIVO DA SECRETARIA,CUSTEIO ADMINISTRATIVO DA SECRETARIA,1161002.0
48,201100,6,6,4,123,37,2,7,0,F,CUSTEIO ADMINISTRATIVO DA SECRETARIA,CUSTEIO ADMINISTRATIVO DA SECRETARIA,2450000.0
48,201100,6,6,28,843,962,2,8,0,F,AMORTIZACAO DA DIVIDA INTERNA,AMORTIZACAO DA DIVIDA INTERNA,1200000.0
48,201100,6,6,99,999,999,9,1,0,F,RESERVA DE CONTINGENCIA,RESERVA DE CONTINGENCIA,754250.0
48,201100,7,7,8,122,37,2,9,0,S,MANUTENCAO DO FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL,MANUTENCAO DO FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL,1370000.0
48,201100,7,7,8,241,121,2,10,0,S,MANUTENCAO DO CONSELHO MUNICIPAL DOS DIREITOS DO IDOSO - CMDI,MANUTENCAO DAS ATIVIDADES LIGADA AO IDOSO,181000.0
48,201100,7,7,8,244,137,1,2,0,S,CONSTRUCAO DE UNIDADES DE INTERNACAO RESTRITIVA E PROVISORIA,CONSTRUCAO DE UNIDADES DE INTERNACAO RESTRITIVA E PROVISORIA,100000.0
48,201100,7,7,8,244,137,1,4,0,S,CONSTRUCAO DE CENTRO DE REF. ASSIST. SOCIAL - CRAS,CONSTRUCAO DE CENTRO DE REF. ASSIST. SOCIAL - CRAS,100000.0
48,201100,7,7,8,244,137,2,14,0,S,MANUTENCAO DO CONSELHO MUNICIPAL DE ASSISTENCIA SOCIAL - CMAS,MANUTENCAO DAS ATIVIDADES DO CMAS.,50000.0
48,201100,7,7,8,244,137,2,15,0,S,APOIO AS ACOES COMPLEMENTARES/GESTAO DO BOLSA FAMILIA,APOIO AS ACOES COMPLEMENTARES/GESTAO DO BOLSA FAMILIA,170000.0
48,201100,7,7,8,244,137,2,17,0,S,OPERACIONALIZACAO  DA COZINHA COMUNITARIA,APOIO A INSTALACAO DE COZINHA COMUNITARIA,83000.0
48,201100,7,7,8,244,137,2,18,0,S,DESENVOLVER ACOES SOCIO ESPECIAL DE MEDIA COMPLEXIDADE PAEFI/CREAS,MANUTENCAO DE ACOES DE ATENDIMENTO -PAEFI/CREAS,266400.0
48,201100,7,7,8,244,137,2,20,0,S,IMPLANTACAO A MANUT.DO CONSELHO MUNICIP DOS DIREITOS DE PESSOAS COM DEFICIENCIA,MANUT.ATIV.LIGADAS A PESSOA COM NECESSIDADES ESPECIAIS,37500.0
48,201100,7,7,8,244,137,2,57,0,S,PROGRAMA CASA DA FAMILIA - PAIF/CRAS,MANUTENCAO DO SERVICO DE PROTECAO E ATENDIMENTO INTEGRAL A FAMILIA PAIF - CENTRO DE REFERENCIA DA ASSISTENCIA SOCIAL - CRAS,464500.0
48,201100,7,7,8,244,137,2,58,0,S,PROGRAMA INTEGRACAO AABB COMUNIDADE,MANUTENCAO DO PROGRAMA AABB COMUNIDADE.,48000.0
48,201100,7,7,8,244,426,2,21,0,S,MANUTENCAO DO PROJETO ESTACAO DIGITAL,MANUTENCAO DO PROJETO ESTACAO DIGITAL,35500.0
48,201100,7,7,8,244,426,2,59,0,S,IMPLANTACAO  DO PROJETO CIDADE DIGITAL - PROJETO CRATEUS DIGITAL,ASSEGURAR RECURSOS NECESSARIOS PARA IMPLANTACAO DO PROJETO CRATEUS DIGITAL NO AMBITO DESSE MUNICPIO.,212000.0
48,201100,7,7,8,244,440,2,55,0,S,PROGRAMA AGRICULTURA FAMILIAR - INCLUSAO PRODUTIVA E HORTAS COMUNITARIAS,IMPLANTACAO E APOIO A AGRICULTURA FAMILIAR - INCLUSAO PRODUTIVA E HORTAS COMUNITARIAS,68000.0
48,201100,7,7,8,244,473,2,56,0,S,PROGRAMA AGRICULTURA FAMILIAR - COMPRA DIRETA,IMPLANTACAO E MANUTENCAO DO PROGRAMA COMPRA DIRETA - AGRICULTURA FAMILIAR,115000.0
48,201100,7,7,8,306,196,2,22,0,S,MANUTENCAO DO CONSELHO MUNICIPAL DE SEGURANCA ALIMENTAR E NUTRICIONAL/COMESA,APOIO A INSTALACAO DE RESTAURANTE POPULAR PUBLICO,26500.0
48,201100,8,8,12,122,37,2,23,0,F,MANUTENCAO DAS ATIVIDADES EDUCACIONAIS A CARGO DO FUNDO MUNICIPAL DE EDUCACAO,CUSTEIO DE ATIVIDADES EDUCACIONAIS,2250000.0
48,201100,8,8,12,361,196,2,24,0,F,PROGRAMA NACIONAL DE ALIMENTACAO ESCOLAR - PNAE,PROGRAMA NACIONAL DE ALIMENTACAO ESCOLAR - PNAE,540000.0
48,201100,8,8,12,361,196,2,26,0,F,PROGRAMA MERENDA ESCOLAR - AGRICULTURA FAMILIAR,"EXECUCAO DO PROGRAMA ASSISTENCIAL ALIMENTAR E NUTRICIONAL,DOS ALUNOS DA REDE PUBLICA, INCLUSIVE COM AQUISICAO DE PRODUTOS DA AGRICULTURA FAMILIAR",210000.0
48,201100,8,8,12,361,231,1,5,0,F,"CONSTRUCAO,REVITALIZACAO E AMPLIACAO  DE PREDIOS DA REDE DO ENSINO FUNDAMENTAL",CONSTRUCAO REFORMA E AMPLIACAO DE ESCOLAS MUNICIPAIS,210000.0
48,201100,8,8,12,362,251,1,6,0,F,CONSTRUCAO DA ESCOLA AGRICOLA,CONSTRUCAO DA ESCOLA AGRICOLA,100000.0
48,201100,8,8,12,365,271,1,7,0,F,"CONSTRUCAO,REVITALIZACAO E AMPLIACAO DE PREDIOS DA REDE DO ENSINO INFANTIL","CONSTRUCAO,REVITALIZACAO E AMPLIACAO DE PREDIOS DA REDE DO ENSINO INFANTIL",210000.0
48,201100,8,8,12,367,286,2,25,0,F,DESENVOLVIMENTO DA EDUCACAO ESPECIAL,DESENVOLVIMENTO DA EDUCACAO ESPECIAL,30000.0
48,201100,9,9,10,122,37,2,27,0,S,MANUTENCAO DAS ATIVIDADES GERAIS DA   SE CRETARIA ATRAVES DO F.M.DE SAUDE,MANUTENCAO DAS ATIVIDADES GERAIS DA SECRETARIA ATRAVES DO FUNDO MUNICIPAL DE SAUDE,4225000.0
48,201100,9,9,10,301,171,2,28,0,S,FUNCIONAMENTODO PROGRAMA DE SAUDE DA ATENCAO BASICA - PROG.SAUDE DA FAMILIA,FUNCIONAMENTODO PROGRAMA DE SAUDE DA ATENCAO BASICA -PSF,4195000.0
48,201100,9,9,10,301,171,2,29,0,S,MANUTENCAO DAS ATIVIDADES DE ATENCAO BASICA -PROG AGENTS COMUNIT DE SAUDE,MANUTENCAO DAS ATIVIDADES DE ATENCAO BASICA PACS,738000.0
48,201100,9,9,10,301,171,2,30,0,S,MANUTENCAO DAS ATIVIDADES DA GESTAO DO SUS,MANUTENCAO DAS ATIVIDADES DA GESTAO DO SUS,407000.0
48,201100,9,9,10,302,171,2,31,0,S,FUNCIONAMENTO DO PROG. DE SAUDE DA ATENCAO SECUNDARIA,FUNCIONAMENTO DO PROG. DE SAUDE DA ATENCAO SECUNDARIA,71000.0
48,201100,9,9,10,302,176,1,9,0,S,CONSTRUCAO AMPLIACAO E REFORMAS DE UNIDADES SAUDE,CONSTRUCAO AMPLIACAO E REFORMAS DE UNIDADES SAUDE,200000.0
48,201100,9,9,10,302,176,2,32,0,S,MANUTE.DAS ATIVIDADES AMBULATORIAL E HOSPITALAR MEDIA E ALTA COMPLEXIDADE,MANUTENCAO DAS ATIVIDADES DE ASSIST AMBUL E HOSPITALAR,10820000.0
48,201100,9,9,10,303,181,2,33,0,S,MANUTENCAO DAS ATIVIDADES DE ASSISTENCIA FARMACEUTICA,MANUTENCAO DAS ATIVIDADES DE ASSISTENCIA FARMACEUTICA,300000.0
48,201100,9,9,10,304,186,2,34,0,S,MANUTENCAO DAS ATIVIDADES DE VIGILANCIA SANITARIA,MANUTENCAO DOS SERVICOS DE VIGILANCIA SANITARIA A SAUDE PUBLICA,142000.0
48,201100,9,9,10,305,171,2,35,0,S,MANUTENCAO DAS ATIVIDADES DE VIGILANCIA EM SAUDE/ENDEMIAS,MANUTENCAO DAS ATIVIDADES DE VIGILANCIA EM SAUDE,677000.0
48,201100,10,10,4,122,37,2,36,0,F,MANUTENCAO DO CUSTEIO DA SECRETARIA E DOS SERVICOS DE UTILIDADE PUBLICA,CUSTEIO ADMINISTRATIVO DA SECRETARIA DE INFRAESTRUTURA E DOS SERVICOS BASICOS DE UTILIDADE PUBLICA.,3715000.0
48,201100,10,10,15,451,332,1,10,0,F,EXECUCAO DE OBRAS E SERVICOS DE   INFRA ESTRUTURA C/REVITALIZACAO AREAS URBANAS,"REVITALIZACAO, E EXCUCAO DE OBRAS E SERVICOS DE INFRA-ESTRUTURA URBANA NA SEDE E DISTRITOS",1100000.0
48,201100,10,10,15,452,340,1,12,0,F,REFORMA E AMPLIACAO DE LAVANDERIAS PUBLICAS,REFORMA E AMPLIACAO DE LAVANDERIAS PUBLICAS,100000.0
48,201100,10,10,15,452,347,1,13,0,F,REFORMA E AMPLIACAO DO TERMINAL RODOVIARIO,REFORMA E AMPLIACAO DO TERMINAL RODOVIARIO,100000.0
